"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.12.09
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","24.6","18.4","40.2",""
"nÿ,a, ஧துள஭Badulla","23.1","15.1","3.3",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","20.0","14.1","3.9",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","22.2","17.7","40.0",""
"fld<U ககாழும்புColombo","27.1","20.4","0.6",""
".d,a, கா஬ிGalle","28.1","24.0","2.1",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","30.1","25.0","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","26.6","19.5","72.6",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","26.8","18.3","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","18.8","15.7","11.2",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","25.4","19.1","7.2",""
"l=reKE., குருணாகல் Kurunagala","21.8","18.3","11.1",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","23.1","18.3","19.4",""
"ukakdru நன்஦ார்Mannar","26.4","18.8","53.1",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","22.2","18.1","27.7",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","13.2","8.1","18.6",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","27.1","21.0","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","26.4","20.6","11.4",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","28.3","20.4","0.5",""
"r;akmqrh இபத்தி஦புரிRathnapura","27.7","19.3","0.4",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","21.8","16.5","130.0",""
"jõkshdj வவு஦ினாVavuniya","23.5","16.4","86.7",""
"u;a;, நத்த஭Mattla","29.3","22.8","0.0",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","24.3","17.9","145.1",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்஫ீச்Castlereigh","12.5","රන්නදණිග඼ இபந்மத஦ிக஬Randenigala","","2.0"
"න ෝටන්ந஥ாட்டன்Norton","13.0","රන්ටැනේ இபந்தம்ந஧Rantambe","","2.4"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","10.0","නබෝලෙැන්  ந஧ாவத்தன்஦Bowatenna","","18.4"
"කැනියන්கன்னன்Canyon","13.0","උකුනල඼உக்குவ஬Ukuwela","","14.5"
"඼ක්ෂපා ஬க்ச஧ா஦Lakshapana","9.9","සම ළලැලசந஦஬மவவSamanala Wawa","","0.0"
