date	rain	min_temp	max_temp
2018-11-04	17.7	24.2	31.2
2018-11-07	0	23.1	27.0
2018-11-12	0.0	23.6	32.2
2018-11-19	2.9	24.5	31.4
2019-02-04	2.1	25.1	32.6
2019-02-10	60.3	23.6	31.1
2019-02-11	0.0	24.3	31.5
2019-02-20	8.2	24.1	33.0
2019-02-21	0.0	23.7	32.8
2019-06-23	19.4	24.4	32.4
2019-06-29	0.0	28.7	32.9
2019-07-07	0.0	26.8	33.1
2019-07-26	1.3	27.2	31.9
2019-09-24	158.8	23.3	28.0
2019-10-04	47.0	23.3	32.3
2019-10-25	60.0	23.6	28.0
2019-10-30	5.5	23.8	31.1
2019-11-05	0.0	24.9	31.5
2019-11-06	0.0	25.0	31.9
2019-11-19	18.2	24.4	32.1
2019-11-23	63.3	23.4	32.5
2019-11-25	0.2	24.9	30.5
2019-11-29	21.6	24.8	33.8
2019-12-03	0.1	25.3	32.0
2019-12-05	39.7	24.4	30.8
2019-12-18	0.1	24.8	32.6
2019-12-24	0.5	24.5	32.9
2020-01-22	1.4	25.4	33.9
2020-02-04	0.0	24.8	32.8
2020-03-19	0.0	26.8	33.4
2020-03-21	0.2	24.6	33.5
2020-05-15	0.7	26.9	33.9
2020-05-25	0.0	29.1	33.2
2020-06-03	0.0	26.1	33.2
2020-08-03	11.6	24.0	30.4
2020-08-11	4.1	25.6	31.4
2020-09-19	11.1	25.5	31.0
2020-09-25	25.0	23.9	31.5
2020-09-28	2.4	25.6	32.2
2020-10-25	0	25.2	31.6
2020-12-01	0.0	24.8	34.7
2021-01-14	29.3	24.0	27.8
2021-02-02	0.0	20.5	34.6
2021-05-05	2.2	24.4	32.7
2021-06-28	5.9	24.7	32.8
2021-06-29	5.1	25.6	32.3
2021-06-30	2.8	25.2	32.4
2021-07-02	17.6	24.5	31.6
2021-07-03	4.9	26.6	32.5
2021-07-04	0	27.9	32.4
2021-07-05	0.0	27.4	31.8
2021-07-06	0.0	28.2	32.2
2021-07-08	2.0	27.1	32.7
2021-07-09	2.5	28.0	32.6
2021-07-10	8.1	26.0	29.8
2021-07-12	0.0	27.4	31.6
2021-07-13	0.0	28.0	32.3
2021-07-14	0.0	27.4	32.1
2021-07-15	0	27.8	32.0
2021-07-16	0.0	26.3	32.1
2021-07-17	0.0	28.0	32.8
2021-07-18	0.0	27.7	32.1
2021-07-19	0.0	27.6	31.8
2021-07-20	0.0	27.6	32.5
2021-07-21	0.0	27.6	32.8
2021-07-23	4.0	27.1	32.0
2021-07-24	25.6	23.3	32.3
2021-07-26	10.4	26.8	31.1
2021-07-27	19.8	23.5	27.3
2021-07-28	15.9	24.1	31.7
2021-07-29	1.2	23.5	31.6
2021-07-30	0.0	27.4	31.8
2021-07-31	0.0	27.6	32.1
2021-08-01	0.0	27.6	32.0
2021-08-02	0.0	27.5	31.8
2021-08-03	0.0	27.0	31.6
2021-08-06	1.6	27.3	31.2
2021-08-07	0	27.3	32.0
2021-08-09	6.4	26.1	29.0
2021-08-10	24.7	24.7	31.5
2021-08-12	0.0	27.4	30.7
2021-08-13	0.0	26.3	29.3
2021-08-14	0.0	26.9	30.3
2021-08-15	0.0	27.0	30.9
2021-08-16	0.0	27.0	30.8
2021-08-18	5.3	26.7	30.9
2021-08-20	0.0	25.4	31.5
2021-08-21	0.0	27.1	31.6
2021-08-23	1.2	25.2	31.3
2021-08-25	22.7	24.4	32.1
2021-08-26	17.4	24.3	31.5
2021-08-27	15.6	24.2	28.4
2021-08-28	12.0	25.6	30.5
2021-08-29	16.1	23.9	31.4
2021-08-30	3.2	23.6	31.0
2021-08-31	0.0	27.1	31.0
2021-09-01	1.7	26.1	31.8
2021-09-02	4.3	26.4	32.1
2021-09-03	4.5	25.3	31.6
2021-09-04	8.1	25.0	31.6
2021-09-06	3.0	26.2	31.8
2021-09-07	5.4	26.4	32.2
2021-09-08	1.4	25.0	32.1
2021-09-09	2.3	25.1	31.7
2021-09-10	0	27.4	32.1
2021-09-11	1.8	27.3	32.5
2021-09-12	0	27.4	32.4
2021-09-13	1.5	26.4	32.5
2021-09-14	12.0	25.2	31.1
2021-09-15	5.8	25.7	31.8
2021-09-16	4.6	25.7	31.4
2021-09-18	0	26.5	31.5
2021-09-19	3.8	26.1	32.1
2021-09-21	28.9	24.3	31.8
2021-09-22	8.3	24.4	28.9
2021-09-23	6.7	26.7	32.4
2021-09-24	0.0	27.8	32.1
2021-09-25	10.9	25.9	31.8
2021-09-26	0.2	27.7	31.5
2021-09-27	3.6	25.1	31.5
2021-09-28	11.4	24.4	31.6
2021-09-29	0.1	24.5	29.6
2021-09-30	0.0	27.3	32.0
2021-10-01	1.0	27.2	30.6
2021-10-02	45.4	22.5	28.3
2021-10-03	1.5	25.0	30.8
2021-10-04	1.2	26.3	31.3
2021-10-06	47.2	24.0	27.6
2021-10-07	2.7	24.5	31.4
2021-10-08	0.0	25.7	32.6
2021-10-09	1.0	27.0	32.5
2021-10-10	0.9	27.1	31.5
2021-10-11	11.2	24.5	32.6
2021-10-12	0.0	26.0	30.7
2021-10-13	6.9	24.9	30.2
2021-10-14	0	27.6	32.1
2021-10-15	0.2	27.7	32.3
2021-10-16	1.7	25.8	32.3
2021-10-17	3.2	26.5	31.2
2021-10-18	0.2	26.2	31.8
2021-10-19	1.5	26.2	32.1
2021-10-20	1.6	24.7	31.7
2021-10-21	16.4	22.7	31.1
2021-10-22	0	25.3	31.8
2021-10-23	10.4	24.2	31.7
2021-10-24	33.0	23.2	32.1
2021-10-25	4.0	24.9	31.2
2021-10-26	11.0	24.0	31.4
2021-10-27	9.7	23.6	30.7
2021-10-28	22.6	23.7	30.5
2021-10-30	21.2	23.9	30.6
2021-10-31	3.9	23.4	30.3
2021-11-01	53.0	24.7	31.6
2021-11-02	10.5	24.3	30.0
2021-11-03	0	24.2	31.6
2021-11-04	29.4	23.7	31.3
2021-11-05	14.3	23.2	31.7
2021-11-06	17.1	24.0	30.3
2021-11-07	9.0	24.7	31.1
2021-11-08	41.3	21.7	29.5
2021-11-09	63.9	23.7	26.5
2021-11-10	22.9	23.2	27.8
2021-11-11	2.8	23.3	29.9
2021-11-12	3.7	25.0	30.8
2021-11-13	1.2	24.5	30.5
2021-11-14	12.4	23.6	32.1
2021-11-15	21.0	23.9	30.1
2021-11-16	18.0	24.4	30.7
2021-11-18	19.8	23.7	30.6
2021-11-19	0.1	26.8	30.6
2021-11-20	11.9	24.9	29.8
2021-11-21	0.0	22.7	31.5
2021-11-22	0.0	23.8	31.3
2021-11-23	0.0	24.9	31.5
2021-11-24	11.3	24.0	32.7
2021-11-25	12.5	23.7	29.1
2021-11-26	0	23.3	27.8
2021-11-27	0	24.7	31.7
2021-11-28	10.1	24.2	31.6
2021-11-29	2.8	24.0	30.8
2021-11-30	0.1	24.9	29.8
2021-12-02	0.0	23.9	30.9
2021-12-03	1.0	25.0	31.4
2021-12-04	4.4	25.2	32.2
2021-12-05	0.0	24.9	32.0
2021-12-06	0.0	24.9	32.0
2021-12-07	0.4	24.8	31.7
