date	rain	min_temp	max_temp
2021-06-28	0.0		
2021-07-10	52.3		
2021-07-29	6.3		
2021-08-12	0.0		
2021-08-25	0.0		
2021-09-15	0.0		
2021-10-03	0.0		
2021-10-13	2.0		
2021-10-19	0.0		
2021-11-08	43.1		
2021-11-24	74.2		
2021-11-25	45.4		
2021-12-29	0.0		
2022-01-01	0.0		
2022-01-06	4.0		
2022-01-22	0.0		
2022-01-30	4.5		
2022-01-31	0.0		
2022-02-28	0.0		
2022-03-03	0.0		
2022-03-10	0.0		
2022-04-10	27.5		
2022-04-16	0.0		
2022-04-21	0.0		
2022-05-12	13.5		
2022-08-01	2.1		
2022-08-04	45.7		
2022-09-05	0.0		
2022-09-17	0.0		
2022-10-01	21.2		
2022-10-14	23.0		
2022-10-15	26.0		
2022-10-16	1.7		
2022-10-24	24.0		
2022-11-04	8.5		
2022-11-25	0.0		
2022-12-04	0.0		
2022-12-09	14.5		
2022-12-11	4.0		
2023-01-20	0.0		
2023-01-24	0.0		
2023-01-26	0.0		
2023-02-04	0.0		
2023-02-16	0.0		
2023-02-23	0.0		
2023-04-11	0.0		
2023-04-28	0.0		
2023-05-09	26.0		
2023-08-21	0.0		
2023-09-03	5.1		
2023-09-12	5.7		
2023-11-08	14.2		
2023-11-09	1.3		
2023-11-29	1.0		
2023-12-02	10.4		
2023-12-14	2.3		
2023-12-26	0.0		
2023-12-28	19.2		
2024-01-13	0.0		
2024-01-17	0.0		
2024-02-22	0.0		
