date	rain	temp_min	temp_max
2024-02-17	3.5		
2024-01-31	30.2		
2024-01-30	4.3		
2024-01-12	1.4		
2024-01-11	104.5		
2023-12-27	38.5		
2023-12-20	33.9		
2023-12-15	68.4		
2023-12-13	76.2		
2023-12-08	58.4		
2023-11-21	44.5		
2023-11-19	86.0		
2023-11-08	54.0		
2023-05-05	68.5		
2023-04-29	35.7		
2023-04-24	28.0		
2023-04-21	26.5		
2023-02-19	13.4		
2023-02-07	35.5		
2023-02-05	55.0		
2023-02-04	18.3		
2023-01-24	59.4		
2022-12-20	95.5		
2022-11-14	65.5		
2022-10-11	76.0		
2022-10-10	46.5		
2022-09-26	142.0		
2022-08-17	36.5		
2022-07-20	66.0		
2022-04-24	56.5		
2022-04-16	26.5		
2022-04-15	0.5		
2022-04-12	28.0		
2022-04-08	45.5		
2022-02-11	59.6		
2022-01-30	2.4		
2022-01-28	2.3		
2022-01-12	13.0		
2022-01-09	52.6		
2022-01-03	83.6		
2021-12-21	6.0		
2021-12-20	1.4		
2021-12-19	44.2		
2021-12-05	39.5		
2021-10-23	91.0		
2021-08-23	32.8		
2021-08-23	32.8		
