date	rain	min_temp	max_temp
2021-06-28	0.0		
2021-06-30	0.0		
2021-07-05	13.6		
2021-07-10	15.6		
2021-07-15	0.0		
2021-07-17	0.0		
2021-07-23	0.0		
2021-07-26	0.0		
2021-07-29	0.0		
2021-08-12	0.0		
2021-08-15	0.0		
2021-08-25	0.0		
2021-09-06	0.0		
2021-09-09	0.0		
2021-09-10	0.0		
2021-09-13	0.0		
2021-09-14	0.0		
2021-09-15	0.0		
2021-09-16	0.0		
2021-09-25	1.1		
2021-09-28	0.0		
2021-10-03	3.0		
2021-10-09	0.0		
2021-10-13	1.1		
2021-10-15	0.0		
2021-10-19	0.0		
2021-10-23	9.1		
2021-11-08	0.3		
2021-11-09	0.0		
2021-11-11	0.0		
2021-11-14	0.0		
2021-11-15	0.0		
2021-11-23	0.0		
2021-11-24	46.7		
2021-11-25	46.5		
2021-12-02	0.0		
2021-12-09	3.3		
2021-12-13	46.5		
2021-12-22	3.7		
2021-12-29	0.0		
2021-12-31	0.3		
2022-01-01	14.6		
2022-01-03	57.0		
2022-01-06	4.2		
2022-01-09	35.0		
2022-01-18	3.3		
2022-01-22	0.0		
2022-01-28	0.0		
2022-01-30	6.1		
2022-01-31	3.4		
2022-02-06	0.0		
2022-02-07	0.0		
2022-02-16	0.0		
2022-02-26	0.0		
2022-02-27	60.5		
2022-02-28	0.0		
2022-03-03	0.0		
2022-03-10	0.0		
2022-03-13	9.7		
2022-03-24	0.0		
2022-03-28	0.0		
2022-04-04	12.2		
2022-04-10	2.2		
2022-04-21	1.0		
2022-04-22	0.0		
2022-04-30	0.0		
2022-05-07	0.0		
2022-05-12	0.0		
2022-05-14	0.0		
2022-05-27	0.0		
2022-06-05	0.0		
2022-06-13	0.0		
2022-07-14	0.0		
2022-07-26	6.0		
2022-08-01	5.1		
2022-08-04	0.0		
2022-08-17	55.5		
2022-08-31	20.0		
2022-09-04	0.0		
2022-09-05	0.0		
2022-09-08	0.0		
2022-09-14	0.0		
2022-09-17	0.0		
2022-09-19	0.0		
2022-09-21	0.0		
2022-10-01	0.0		
2022-10-06	0.0		
2022-10-08	0.0		
2022-10-10	10.5		
2022-10-11	0.0		
2022-10-13	0.8		
2022-10-14	7.0		
2022-10-15	7.2		
2022-10-16	0.0		
2022-10-17	0.0		
2022-10-24	7.8		
2022-11-03	0.0		
2022-11-04	5.0		
2022-11-06	74.5		
2022-11-07	0.0		
2022-11-08	5.4		
2022-11-09	33.5		
2022-11-11	0.0		
2022-11-17	3.4		
2022-11-19	0.0		
2022-11-20	0.0		
2022-11-24	0.0		
2022-11-25	0.0		
2022-11-27	10.7		
2022-11-28	27.0		
2022-12-03	3.1		
2022-12-04	16.4		
2022-12-09	2.0		
2022-12-10	0.0		
2022-12-11	0.0		
2022-12-14	0.0		
2022-12-15	2.3		
2022-12-16	1.8		
2022-12-20	75.1		
2023-01-20	0.0		
2023-01-24	22.0		
2023-01-25	0.5		
2023-01-26	0.0		
2023-01-28	3.6		
2023-02-02	1.3		
2023-02-04	39.2		
2023-02-07	5.7		
2023-02-10	0.0		
2023-02-13	0.0		
2023-02-16	0.0		
2023-02-21	16.5		
2023-02-23	0.0		
2023-04-08	3.2		
2023-04-11	1.0		
2023-04-15	0.0		
2023-04-17	11.9		
2023-04-20	0.0		
2023-04-24	0.0		
2023-04-28	0.0		
2023-05-02	7.3		
2023-05-09	32.2		
2023-09-18	0.0		
2023-09-20	1.0		
2023-11-04	28.0		
2023-11-09	0.0		
2023-11-25	0.4		
2023-11-27	17.8		
2023-11-29	13.4		
2023-12-14	2.1		
2023-12-20	43.0		
2023-12-26	2.5		
2023-12-28	82.0		
2024-01-02	90.7		
2024-01-04	4.3		
2024-01-16	0.0		
2024-01-21	14.0		
2024-01-25	0.0		
2024-02-02	0.3		
2024-02-05	64.6		
2024-02-06	19.8		
2024-02-12	0.0		
2024-02-16	7.5		
