rain	temp_min	temp_max	date
18.0			2021-09-19
67.5			2021-09-25
142.0			2021-10-03
69.5			2021-10-23
105.0			2021-10-31
52.0			2021-12-09
61.0			2022-01-02
120.6			2022-01-03
29.0			2022-01-09
3.6			2022-01-28
5.0			2022-01-29
48.0			2022-03-26
33.0			2022-04-02
65.0			2022-04-03
35.0			2022-04-12
29.0			2022-04-16
85.0			2022-04-23
49.0			2022-04-24
27.0			2022-07-21
38.3			2022-07-27
73.0			2022-08-30
73.0			2023-02-03
56.0			2023-02-05
44.0			2023-02-07
9.0			2023-04-21
19.0			2023-04-28
50.6			2023-09-22
33.5			2023-11-21
54.0			2023-12-08
54.0			2023-12-19
9.5			2023-12-22
58.0			2023-12-27
69.0			2023-12-28
86.5			2023-12-29
56.5			2023-12-30
7.5			2024-01-03
120.0			2024-01-11
39.7			2024-01-19
5.0			2024-01-30
